lambda	Re(eps)	Im(eps)
3.5300000000000000e+02	+3.6560761007868039e+00	+6.8963654545414503e-03
3.5400000000000000e+02	+3.6541255521620672e+00	+6.9551251211085073e-03
3.5500000000000000e+02	+3.6521694946532484e+00	+7.0142174778494975e-03
3.5600000000000000e+02	+3.6502079283359965e+00	+7.0736434620238351e-03
3.5700000000000000e+02	+3.6482408532861723e+00	+7.1334040108694567e-03
3.5800000000000000e+02	+3.6462682695798492e+00	+7.1935000616027214e-03
3.5900000000000000e+02	+3.6442901772933136e+00	+7.2539325514183817e-03
3.6000000000000000e+02	+3.6423065765030644e+00	+7.3147024174895015e-03
3.6100000000000000e+02	+3.6403174672858127e+00	+7.3758105969674095e-03
3.6200000000000000e+02	+3.6383228497184819e+00	+7.4372580269816448e-03
3.6300000000000000e+02	+3.6363227238782083e+00	+7.4990456446398677e-03
3.6400000000000000e+02	+3.6343170898423405e+00	+7.5611743870278260e-03
3.6500000000000000e+02	+3.6323059476884398e+00	+7.6236451912092941e-03
3.6600000000000000e+02	+3.6302892974942793e+00	+7.6864589942259977e-03
3.6700000000000000e+02	+3.6282671393378454e+00	+7.7496167330975705e-03
3.6800000000000000e+02	+3.6262394732973364e+00	+7.8131193448214755e-03
3.6900000000000000e+02	+3.6242062994511630e+00	+7.8769677663729585e-03
3.7000000000000000e+02	+3.6221676178779489e+00	+7.9411629347049800e-03
3.7100000000000000e+02	+3.6201234286565294e+00	+8.0057057867481771e-03
3.7200000000000000e+02	+3.6180737318659530e+00	+8.0705972594107573e-03
3.7300000000000000e+02	+3.6160185275854801e+00	+8.1358382895784891e-03
3.7400000000000000e+02	+3.6139578158945840e+00	+8.2014298141146122e-03
3.7500000000000000e+02	+3.6118915968729493e+00	+8.2673727698597769e-03
3.7600000000000000e+02	+3.6098198706004743e+00	+8.3336680936320091e-03
3.7700000000000000e+02	+3.6077426371572692e+00	+8.4003167222266133e-03
3.7800000000000000e+02	+3.6056598966236555e+00	+8.4673195924161414e-03
3.7900000000000000e+02	+3.6035716490801692e+00	+8.5346776409503215e-03
3.8000000000000000e+02	+3.6014778946075574e+00	+8.6023918045559904e-03
3.8100000000000000e+02	+3.5993786332867788e+00	+8.6704630199370553e-03
3.8200000000000000e+02	+3.5972738651990057e+00	+8.7388922237744207e-03
3.8300000000000000e+02	+3.5951635904256225e+00	+8.8076803527259145e-03
3.8400000000000000e+02	+3.5930478090482256e+00	+8.8768283434262473e-03
3.8500000000000000e+02	+3.5909265211486239e+00	+8.9463371324869558e-03
3.8600000000000000e+02	+3.5887997268088383e+00	+9.0162076564963105e-03
3.8700000000000000e+02	+3.5866674261111022e+00	+9.0864408520193105e-03
3.8800000000000000e+02	+3.5845296191378617e+00	+9.1570376555975639e-03
3.8900000000000000e+02	+3.5823863059717747e+00	+9.2279990037492585e-03
3.9000000000000000e+02	+3.5802374866957112e+00	+9.2993258329691127e-03
3.9100000000000000e+02	+3.5780831613927537e+00	+9.3710190797282929e-03
3.9200000000000000e+02	+3.5759233301461975e+00	+9.4430796804743488e-03
3.9300000000000000e+02	+3.5737579930395489e+00	+9.5155085716311927e-03
3.9400000000000000e+02	+3.5715871501565282e+00	+9.5883066895989816e-03
3.9500000000000000e+02	+3.5694108015810664e+00	+9.6614749707541053e-03
3.9600000000000000e+02	+3.5672289473973069e+00	+9.7350143514491200e-03
3.9700000000000000e+02	+3.5650415876896062e+00	+9.8089257680126479e-03
3.9800000000000000e+02	+3.5628487225425323e+00	+9.8832101567493669e-03
3.9900000000000000e+02	+3.5606503520408657e+00	+9.9578684539399238e-03
4.0000000000000000e+02	+3.5584464762695984e+00	+1.0032901595840889e-02
4.0100000000000000e+02	+3.5562370953139362e+00	+1.0108310518684667e-02
4.0200000000000000e+02	+3.5540222092592950e+00	+1.0184096158679483e-02
4.0300000000000000e+02	+3.5518018181913047e+00	+1.0260259452009278e-02
4.0400000000000000e+02	+3.5495759221958059e+00	+1.0336801334833676e-02
4.0500000000000000e+02	+3.5473445213588524e+00	+1.0413722743287916e-02
4.0600000000000000e+02	+3.5451076157667099e+00	+1.0491024613482775e-02
4.0700000000000000e+02	+3.5428652055058558e+00	+1.0568707881504560e-02
4.0800000000000000e+02	+3.5406172906629796e+00	+1.0646773483414976e-02
4.0900000000000000e+02	+3.5383638713249841e+00	+1.0725222355251123e-02
4.1000000000000000e+02	+3.5361049475789823e+00	+1.0804055433025409e-02
4.1100000000000000e+02	+3.5338405195123017e+00	+1.0883273652725485e-02
4.1200000000000000e+02	+3.5315705872124790e+00	+1.0962877950314235e-02
4.1300000000000000e+02	+3.5292951507672656e+00	+1.1042869261729619e-02
4.1400000000000000e+02	+3.5270142102646238e+00	+1.1123248522884729e-02
4.1500000000000000e+02	+3.5247277657927278e+00	+1.1204016669667619e-02
4.1600000000000000e+02	+3.5224358174399639e+00	+1.1285174637941339e-02
4.1700000000000000e+02	+3.5201383652949314e+00	+1.1366723363543810e-02
4.1800000000000000e+02	+3.5178354094464401e+00	+1.1448663782287802e-02
4.1900000000000000e+02	+3.5155269499835131e+00	+1.1530996829960843e-02
4.2000000000000000e+02	+3.5132129869953852e+00	+1.1613723442325178e-02
4.2100000000000000e+02	+3.5108935205715026e+00	+1.1696844555117717e-02
