lambda	Re(eps)	Im(eps)
6.6600000000000000e+02	+2.7770326795544040e+00	+4.6267100934227243e-02
6.6700000000000000e+02	+2.7733626163866751e+00	+4.6475624765450710e-02
6.6800000000000000e+02	+2.7696870783450263e+00	+4.6684773295863034e-02
6.6900000000000000e+02	+2.7660060655711649e+00	+4.6894547453072456e-02
6.7000000000000000e+02	+2.7623195782070100e+00	+4.7104948164646936e-02
6.7100000000000000e+02	+2.7586276163946870e+00	+4.7315976358114305e-02
6.7200000000000000e+02	+2.7549301802765336e+00	+4.7527632960962081e-02
6.7300000000000000e+02	+2.7512272699950939e+00	+4.7739918900637446e-02
6.7400000000000000e+02	+2.7475188856931236e+00	+4.7952835104547190e-02
6.7500000000000000e+02	+2.7438050275135861e+00	+4.8166382500057614e-02
6.7600000000000000e+02	+2.7400856955996531e+00	+4.8380562014494595e-02
6.7700000000000000e+02	+2.7363608900947081e+00	+4.8595374575143298e-02
6.7800000000000000e+02	+2.7326306111423415e+00	+4.8810821109248358e-02
6.7900000000000000e+02	+2.7288948588863535e+00	+4.9026902544013665e-02
6.8000000000000000e+02	+2.7251536334707547e+00	+4.9243619806602405e-02
6.8100000000000000e+02	+2.7214069350397621e+00	+4.9460973824136917e-02
6.8200000000000000e+02	+2.7176547637378041e+00	+4.9678965523698659e-02
6.8300000000000000e+02	+2.7138971197095172e+00	+4.9897595832328244e-02
6.8400000000000000e+02	+2.7101340030997463e+00	+5.0116865677025196e-02
6.8500000000000000e+02	+2.7063654140535469e+00	+5.0336775984748026e-02
6.8600000000000000e+02	+2.7025913527161824e+00	+5.0557327682414194e-02
6.8700000000000000e+02	+2.6988118192331263e+00	+5.0778521696899920e-02
6.8800000000000000e+02	+2.6950268137500588e+00	+5.1000358955040244e-02
6.8900000000000000e+02	+2.6912363364128717e+00	+5.1222840383628926e-02
6.9000000000000000e+02	+2.6874403873676651e+00	+5.1445966909418356e-02
6.9100000000000000e+02	+2.6836389667607463e+00	+5.1669739459119596e-02
6.9200000000000000e+02	+2.6798320747386337e+00	+5.1894158959402130e-02
6.9300000000000000e+02	+2.6760197114480526e+00	+5.2119226336894101e-02
6.9400000000000000e+02	+2.6722018770359406e+00	+5.2344942518181878e-02
6.9500000000000000e+02	+2.6683785716494395e+00	+5.2571308429810358e-02
6.9600000000000000e+02	+2.6645497954359043e+00	+5.2798324998282666e-02
6.9700000000000000e+02	+2.6607155485428962e+00	+5.3025993150060180e-02
6.9800000000000000e+02	+2.6568758311181857e+00	+5.3254313811562481e-02
6.9900000000000000e+02	+2.6530306433097532e+00	+5.3483287909167301e-02
7.0000000000000000e+02	+2.6491799852657874e+00	+5.3712916369210412e-02
7.0100000000000000e+02	+2.6453238571346844e+00	+5.3943200117985618e-02
7.0200000000000000e+02	+2.6414622590650518e+00	+5.4174140081744662e-02
7.0300000000000000e+02	+2.6375951912057034e+00	+5.4405737186697230e-02
7.0400000000000000e+02	+2.6337226537056635e+00	+5.4637992359010769e-02
7.0500000000000000e+02	+2.6298446467141643e+00	+5.4870906524810574e-02
7.0600000000000000e+02	+2.6259611703806476e+00	+5.5104480610179619e-02
7.0700000000000000e+02	+2.6220722248547617e+00	+5.5338715541158559e-02
7.0800000000000000e+02	+2.6181778102863666e+00	+5.5573612243745671e-02
7.0900000000000000e+02	+2.6142779268255287e+00	+5.5809171643896753e-02
7.1000000000000000e+02	+2.6103725746225246e+00	+5.6045394667525068e-02
7.1100000000000000e+02	+2.6064617538278387e+00	+5.6282282240501316e-02
7.1200000000000000e+02	+2.6025454645921648e+00	+5.6519835288653564e-02
7.1300000000000000e+02	+2.5986237070664036e+00	+5.6758054737767266e-02
7.1400000000000000e+02	+2.5946964814016669e+00	+5.6996941513585031e-02
7.1500000000000000e+02	+2.5907637877492729e+00	+5.7236496541806674e-02
7.1600000000000000e+02	+2.5868256262607496e+00	+5.7476720748089176e-02
7.1700000000000000e+02	+2.5828819970878332e+00	+5.7717615058046588e-02
7.1800000000000000e+02	+2.5789329003824695e+00	+5.7959180397249940e-02
7.1900000000000000e+02	+2.5749783362968115e+00	+5.8201417691227234e-02
7.2000000000000000e+02	+2.5710183049832200e+00	+5.8444327865463462e-02
7.2100000000000000e+02	+2.5670528065942664e+00	+5.8687911845400315e-02
7.2200000000000000e+02	+2.5630818412827301e+00	+5.8932170556436320e-02
7.2300000000000000e+02	+2.5591054092015981e+00	+5.9177104923926804e-02
7.2400000000000000e+02	+2.5551235105040657e+00	+5.9422715873183637e-02
7.2500000000000000e+02	+2.5511361453435391e+00	+5.9669004329475327e-02
7.2600000000000000e+02	+2.5471433138736286e+00	+5.9915971218027046e-02
7.2700000000000000e+02	+2.5431450162481579e+00	+6.0163617464020262e-02
7.2800000000000000e+02	+2.5391412526211559e+00	+6.0411943992593004e-02
7.2900000000000000e+02	+2.5351320231468599e+00	+6.0660951728839646e-02
7.3000000000000000e+02	+2.5311173279797172e+00	+6.0910641597810879e-02
7.3100000000000000e+02	+2.5270971672743823e+00	+6.1161014524513627e-02
7.3200000000000000e+02	+2.5230715411857192e+00	+6.1412071433911017e-02
7.3300000000000000e+02	+2.5190404498687977e+00	+6.1663813250922350e-02
7.3400000000000000e+02	+2.5150038934788994e+00	+6.1916240900422942e-02
7.3500000000000000e+02	+2.5109618721715123e+00	+6.2169355307244149e-02
7.3600000000000000e+02	+2.5069143861023320e+00	+6.2423157396173365e-02
7.3700000000000000e+02	+2.5028614354272642e+00	+6.2677648091953725e-02
7.3800000000000000e+02	+2.4988030203024207e+00	+6.2932828319284415e-02
7.3900000000000000e+02	+2.4947391408841244e+00	+6.3188699002820203e-02
7.4000000000000000e+02	+2.4906697973289047e+00	+6.3445261067171715e-02
7.4100000000000000e+02	+2.4865949897934980e+00	+6.3702515436905222e-02
7.4200000000000000e+02	+2.4825147184348504e+00	+6.3960463036542639e-02
7.4300000000000000e+02	+2.4784289834101183e+00	+6.4219104790561254e-02
7.4400000000000000e+02	+2.4743377848766608e+00	+6.4478441623394167e-02
7.4500000000000000e+02	+2.4702411229920509e+00	+6.4738474459429568e-02
7.4600000000000000e+02	+2.4661389979140660e+00	+6.4999204223011281e-02
7.4700000000000000e+02	+2.4620314098006939e+00	+6.5260631838438291e-02
7.4800000000000000e+02	+2.4579183588101277e+00	+6.5522758229965006e-02
7.4900000000000000e+02	+2.4537998451007725e+00	+6.5785584321800802e-02
7.5000000000000000e+02	+2.4496758688312381e+00	+6.6049111038110397e-02
7.5100000000000000e+02	+2.4455464301603431e+00	+6.6313339303013571e-02
7.5200000000000000e+02	+2.4414115292471168e+00	+6.6578270040584989e-02
7.5300000000000000e+02	+2.4372711662507927e+00	+6.6843904174854460e-02
7.5400000000000000e+02	+2.4331253413308147e+00	+6.7110242629806569e-02
7.5500000000000000e+02	+2.4289740546468335e+00	+6.7377286329380837e-02
7.5600000000000000e+02	+2.4248173063587091e+00	+6.7645036197471489e-02
7.5700000000000000e+02	+2.4206550966265086e+00	+6.7913493157927607e-02
7.5800000000000000e+02	+2.4164874256105069e+00	+6.8182658134552876e-02
7.5900000000000000e+02	+2.4123142934711881e+00	+6.8452532051105505e-02
7.6000000000000000e+02	+2.4081357003692423e+00	+6.8723115831298490e-02
7.6100000000000000e+02	+2.4039516464655692e+00	+6.8994410398799069e-02
7.6200000000000000e+02	+2.3997621319212743e+00	+6.9266416677229173e-02
7.6300000000000000e+02	+2.3955671568976742e+00	+6.9539135590164905e-02
7.6400000000000000e+02	+2.3913667215562904e+00	+6.9812568061136837e-02
7.6500000000000000e+02	+2.3871608260588539e+00	+7.0086715013629688e-02
7.6600000000000000e+02	+2.3829494705673029e+00	+7.0361577371082520e-02
7.6700000000000000e+02	+2.3787326552437840e+00	+7.0637156056888417e-02
7.6800000000000000e+02	+2.3745103802506513e+00	+7.0913451994394583e-02
7.6900000000000000e+02	+2.3702826457504660e+00	+7.1190466106902370e-02
7.7000000000000000e+02	+2.3660494519059974e+00	+7.1468199317666972e-02
7.7100000000000000e+02	+2.3618107988802244e+00	+7.1746652549897469e-02
7.7200000000000000e+02	+2.3575666868363303e+00	+7.2025826726757031e-02
7.7300000000000000e+02	+2.3533171159377093e+00	+7.2305722771362352e-02
7.7400000000000000e+02	+2.3490620863479603e+00	+7.2586341606784066e-02
7.7500000000000000e+02	+2.3448015982308936e+00	+7.2867684156046345e-02
7.7600000000000000e+02	+2.3405356517505234e+00	+7.3149751342127090e-02
7.7700000000000000e+02	+2.3362642470710746e+00	+7.3432544087957685e-02
7.7800000000000000e+02	+2.3319873843569772e+00	+7.3716063316423136e-02
7.7900000000000000e+02	+2.3277050637728705e+00	+7.4000309950361803e-02
7.8000000000000000e+02	+2.3234172854836017e+00	+7.4285284912565433e-02
7.8100000000000000e+02	+2.3191240496542243e+00	+7.4570989125779183e-02
7.8200000000000000e+02	+2.3148253564499992e+00	+7.4857423512701499e-02
7.8300000000000000e+02	+2.3105212060363978e+00	+7.5144588995983835e-02
7.8400000000000000e+02	+2.3062115985790950e+00	+7.5432486498231061e-02
7.8500000000000000e+02	+2.3018965342439759e+00	+7.5721116942001052e-02
7.8600000000000000e+02	+2.2975760131971317e+00	+7.6010481249804723e-02
7.8700000000000000e+02	+2.2932500356048626e+00	+7.6300580344105889e-02
7.8800000000000000e+02	+2.2889186016336760e+00	+7.6591415147321415e-02
7.8900000000000000e+02	+2.2845817114502855e+00	+7.6882986581820953e-02
7.9000000000000000e+02	+2.2802393652216124e+00	+7.7175295569927055e-02
7.9100000000000000e+02	+2.2758915631147874e+00	+7.7468343033914935e-02
7.9200000000000000e+02	+2.2715383052971445e+00	+7.7762129896012638e-02
7.9300000000000000e+02	+2.2671795919362312e+00	+7.8056657078400538e-02
7.9400000000000000e+02	+2.2628154231997968e+00	+7.8351925503211961e-02
7.9500000000000000e+02	+2.2584457992558016e+00	+7.8647936092532442e-02
7.9600000000000000e+02	+2.2540707202724093e+00	+7.8944689768400272e-02
7.9700000000000000e+02	+2.2496901864179977e+00	+7.9242187452805798e-02
7.9800000000000000e+02	+2.2453041978611443e+00	+7.9540430067692056e-02
7.9900000000000000e+02	+2.2409127547706378e+00	+7.9839418534954160e-02
8.0000000000000000e+02	+2.2365158573154749e+00	+8.0139153776439459e-02
8.0100000000000000e+02	+2.2321135056648584e+00	+8.0439636713947521e-02
8.0200000000000000e+02	+2.2277056999881975e+00	+8.0740868269230034e-02
8.0300000000000000e+02	+2.2232924404551095e+00	+8.1042849363990768e-02
8.0400000000000000e+02	+2.2188737272354206e+00	+8.1345580919885377e-02
8.0500000000000000e+02	+2.2144495604991610e+00	+8.1649063858521567e-02
8.0600000000000000e+02	+2.2100199404165703e+00	+8.1953299101458821e-02
8.0700000000000000e+02	+2.2055848671580947e+00	+8.2258287570208574e-02
8.0800000000000000e+02	+2.2011443408943876e+00	+8.2564030186233844e-02
8.0900000000000000e+02	+2.1966983617963090e+00	+8.2870527870949534e-02
8.1000000000000000e+02	+2.1922469300349272e+00	+8.3177781545722126e-02
8.1100000000000000e+02	+2.1877900457815165e+00	+8.3485792131869643e-02
8.1200000000000000e+02	+2.1833277092075605e+00	+8.3794560550661590e-02
8.1300000000000000e+02	+2.1788599204847450e+00	+8.4104087723319246e-02
8.1400000000000000e+02	+2.1743866797849689e+00	+8.4414374571014889e-02
8.1500000000000000e+02	+2.1699079872803342e+00	+8.4725422014872431e-02
8.1600000000000000e+02	+2.1654238431431505e+00	+8.5037230975967021e-02
8.1700000000000000e+02	+2.1609342475459359e+00	+8.5349802375325010e-02
8.1800000000000000e+02	+2.1564392006614144e+00	+8.5663137133923956e-02
8.1900000000000000e+02	+2.1519387026625174e+00	+8.5977236172692470e-02
8.2000000000000000e+02	+2.1474327537223812e+00	+8.6292100412510481e-02
8.2100000000000000e+02	+2.1429213540143532e+00	+8.6607730774208538e-02
8.2200000000000000e+02	+2.1384045037119854e+00	+8.6924128178568386e-02
8.2300000000000000e+02	+2.1338822029890347e+00	+8.7241293546322776e-02
8.2400000000000000e+02	+2.1293544520194683e+00	+8.7559227798154990e-02
8.2500000000000000e+02	+2.1248212509774600e+00	+8.7877931854699221e-02
8.2600000000000000e+02	+2.1202826000373873e+00	+8.8197406636540451e-02
8.2700000000000000e+02	+2.1157384993738377e+00	+8.8517653064214247e-02
8.2800000000000000e+02	+2.1111889491616038e+00	+8.8838672058206877e-02
8.2900000000000000e+02	+2.1066339495756878e+00	+8.9160464538954862e-02
8.3000000000000000e+02	+2.1020735007912945e+00	+8.9483031426845647e-02
8.3100000000000000e+02	+2.0975076029838386e+00	+8.9806373642216733e-02
8.3200000000000000e+02	+2.0929362563289402e+00	+9.0130492105356216e-02
8.3300000000000000e+02	+2.0883594610024274e+00	+9.0455387736502316e-02
8.3400000000000000e+02	+2.0837772171803324e+00	+9.0781061455843803e-02
8.3500000000000000e+02	+2.0791895250388981e+00	+9.1107514183519284e-02
8.3600000000000000e+02	+2.0745963847545696e+00	+9.1434746839617789e-02
8.3700000000000000e+02	+2.0699977965040026e+00	+9.1762760344178254e-02
8.3800000000000000e+02	+2.0653937604640582e+00	+9.2091555617189694e-02
8.3900000000000000e+02	+2.0607842768118037e+00	+9.2421133578591094e-02
8.4000000000000000e+02	+2.0561693457245118e+00	+9.2751495148271385e-02
8.4100000000000000e+02	+2.0515489673796643e+00	+9.3082641246069325e-02
8.4200000000000000e+02	+2.0469231419549483e+00	+9.3414572791773370e-02
8.4300000000000000e+02	+2.0422918696282579e+00	+9.3747290705121875e-02
8.4400000000000000e+02	+2.0376551505776925e+00	+9.4080795905802789e-02
8.4500000000000000e+02	+2.0330129849815610e+00	+9.4415089313453562e-02
8.4600000000000000e+02	+2.0283653730183753e+00	+9.4750171847661435e-02
8.4700000000000000e+02	+2.0237123148668563e+00	+9.5086044427962965e-02
8.4800000000000000e+02	+2.0190538107059295e+00	+9.5422707973844292e-02
8.4900000000000000e+02	+2.0143898607147297e+00	+9.5760163404740750e-02
8.5000000000000000e+02	+2.0097204650725953e+00	+9.6098411640037240e-02
8.5100000000000000e+02	+2.0050456239590715e+00	+9.6437453599067788e-02
8.5200000000000000e+02	+2.0003653375539119e+00	+9.6777290201115626e-02
8.5300000000000000e+02	+1.9956796060370756e+00	+9.7117922365413209e-02
8.5400000000000000e+02	+1.9909884295887261e+00	+9.7459351011142059e-02
8.5500000000000000e+02	+1.9862918083892369e+00	+9.7801577057432698e-02
8.5600000000000000e+02	+1.9815897426191844e+00	+9.8144601423364730e-02
8.5700000000000000e+02	+1.9768822324593542e+00	+9.8488425027966536e-02
8.5800000000000000e+02	+1.9721692780907354e+00	+9.8833048790215608e-02
8.5900000000000000e+02	+1.9674508796945265e+00	+9.9178473629037908e-02
8.6000000000000000e+02	+1.9627270374521291e+00	+9.9524700463308441e-02
8.6100000000000000e+02	+1.9579977515451539e+00	+9.9871730211850765e-02
8.6200000000000000e+02	+1.9532630221554168e+00	+1.0021956379343705e-01
8.6300000000000000e+02	+1.9485228494649398e+00	+1.0056820212678813e-01
8.6400000000000000e+02	+1.9437772336559496e+00	+1.0091764613057337e-01
8.6500000000000000e+02	+1.9390261749108810e+00	+1.0126789672341059e-01
8.6600000000000000e+02	+1.9342696734123770e+00	+1.0161895482386579e-01
8.6700000000000000e+02	+1.9295077293432810e+00	+1.0197082135045370e-01
8.6800000000000000e+02	+1.9247403428866483e+00	+1.0232349722163703e-01
8.6900000000000000e+02	+1.9199675142257373e+00	+1.0267698335582687e-01
8.7000000000000000e+02	+1.9151892435440132e+00	+1.0303128067138241e-01
8.7100000000000000e+02	+1.9104055310251469e+00	+1.0338639008661106e-01
8.7200000000000000e+02	+1.9056163768530157e+00	+1.0374231251976822e-01
8.7300000000000000e+02	+1.9008217812117039e+00	+1.0409904888905720e-01
8.7400000000000000e+02	+1.8960217442855005e+00	+1.0445660011262944e-01
8.7500000000000000e+02	+1.8912162662589003e+00	+1.0481496710858419e-01
8.7600000000000000e+02	+1.8864053473166065e+00	+1.0517415079496839e-01
8.7700000000000000e+02	+1.8815889876435250e+00	+1.0553415208977697e-01
8.7800000000000000e+02	+1.8767671874247700e+00	+1.0589497191095247e-01
8.7900000000000000e+02	+1.8719399468456612e+00	+1.0625661117638503e-01
8.8000000000000000e+02	+1.8671072660917236e+00	+1.0661907080391246e-01
8.8100000000000000e+02	+1.8622691453486881e+00	+1.0698235171132019e-01
8.8200000000000000e+02	+1.8574255848024932e+00	+1.0734645481634089e-01
8.8300000000000000e+02	+1.8525765846392810e+00	+1.0771138103665492e-01
8.8400000000000000e+02	+1.8477221450454007e+00	+1.0807713128988983e-01
8.8500000000000000e+02	+1.8428622662074070e+00	+1.0844370649362056e-01
8.8600000000000000e+02	+1.8379969483120613e+00	+1.0881110756536924e-01
8.8700000000000000e+02	+1.8331261915463295e+00	+1.0917933542260527e-01
8.8800000000000000e+02	+1.8282499960973837e+00	+1.0954839098274517e-01
8.8900000000000000e+02	+1.8233683621526020e+00	+1.0991827516315253e-01
8.9000000000000000e+02	+1.8184812898995690e+00	+1.1028898888113789e-01
8.9100000000000000e+02	+1.8135887795260737e+00	+1.1066053305395884e-01
8.9200000000000000e+02	+1.8086908312201118e+00	+1.1103290859881985e-01
8.9300000000000000e+02	+1.8037874451698834e+00	+1.1140611643287231e-01
8.9400000000000000e+02	+1.7988786215637962e+00	+1.1178015747321422e-01
8.9500000000000000e+02	+1.7939643605904623e+00	+1.1215503263689050e-01
8.9600000000000000e+02	+1.7890446624386991e+00	+1.1253074284089271e-01
8.9700000000000000e+02	+1.7841195272975314e+00	+1.1290728900215891e-01
8.9800000000000000e+02	+1.7791889553561879e+00	+1.1328467203757381e-01
8.9900000000000000e+02	+1.7742529468041033e+00	+1.1366289286396872e-01
9.0000000000000000e+02	+1.7693115018309182e+00	+1.1404195239812119e-01
9.0100000000000000e+02	+1.7643646206264796e+00	+1.1442185155675529e-01
9.0200000000000000e+02	+1.7594123033808380e+00	+1.1480259125654139e-01
9.0300000000000000e+02	+1.7544545502842501e+00	+1.1518417241409619e-01
9.0400000000000000e+02	+1.7494913615271797e+00	+1.1556659594598255e-01
9.0500000000000000e+02	+1.7445227373002949e+00	+1.1594986276870943e-01
9.0600000000000000e+02	+1.7395486777944673e+00	+1.1633397379873210e-01
9.0700000000000000e+02	+1.7345691832007786e+00	+1.1671892995245157e-01
9.0800000000000000e+02	+1.7295842537105126e+00	+1.1710473214621508e-01
9.0900000000000000e+02	+1.7245938895151580e+00	+1.1749138129631571e-01
9.1000000000000000e+02	+1.7195980908064112e+00	+1.1787887831899248e-01
9.1100000000000000e+02	+1.7145968577761734e+00	+1.1826722413043003e-01
9.1200000000000000e+02	+1.7095901906165487e+00	+1.1865641964675910e-01
9.1300000000000000e+02	+1.7045780895198499e+00	+1.1904646578405573e-01
9.1400000000000000e+02	+1.6995605546785937e+00	+1.1943736345834191e-01
9.1500000000000000e+02	+1.6945375862855023e+00	+1.1982911358558505e-01
9.1600000000000000e+02	+1.6895091845335020e+00	+1.2022171708169825e-01
9.1700000000000000e+02	+1.6844753496157265e+00	+1.2061517486253982e-01
9.1800000000000000e+02	+1.6794360817255130e+00	+1.2100948784391378e-01
9.1900000000000000e+02	+1.6743913810564051e+00	+1.2140465694156923e-01
9.2000000000000000e+02	+1.6693412478021497e+00	+1.2180068307120087e-01
9.2100000000000000e+02	+1.6642856821567031e+00	+1.2219756714844826e-01
9.2200000000000000e+02	+1.6592246843142209e+00	+1.2259531008889657e-01
9.2300000000000000e+02	+1.6541582544690687e+00	+1.2299391280807574e-01
9.2400000000000000e+02	+1.6490863928158155e+00	+1.2339337622146099e-01
9.2500000000000000e+02	+1.6440090995492351e+00	+1.2379370124447243e-01
9.2600000000000000e+02	+1.6389263748643064e+00	+1.2419488879247530e-01
9.2700000000000000e+02	+1.6338382189562131e+00	+1.2459693978077957e-01
9.2800000000000000e+02	+1.6287446320203465e+00	+1.2499985512463999e-01
9.2900000000000000e+02	+1.6236456142522999e+00	+1.2540363573925625e-01
9.3000000000000000e+02	+1.6185411658478719e+00	+1.2580828253977294e-01
9.3100000000000000e+02	+1.6134312870030683e+00	+1.2621379644127881e-01
9.3200000000000000e+02	+1.6083159779140983e+00	+1.2662017835880759e-01
9.3300000000000000e+02	+1.6031952387773756e+00	+1.2702742920733759e-01
9.3400000000000000e+02	+1.5980690697895201e+00	+1.2743554990179143e-01
9.3500000000000000e+02	+1.5929374711473567e+00	+1.2784454135703618e-01
9.3600000000000000e+02	+1.5878004430479131e+00	+1.2825440448788353e-01
9.3700000000000000e+02	+1.5826579856884249e+00	+1.2866514020908920e-01
9.3800000000000000e+02	+1.5775100992663300e+00	+1.2907674943535338e-01
9.3900000000000000e+02	+1.5723567839792736e+00	+1.2948923308132035e-01
9.4000000000000000e+02	+1.5671980400251027e+00	+1.2990259206157864e-01
9.4100000000000000e+02	+1.5620338676018721e+00	+1.3031682729066077e-01
9.4200000000000000e+02	+1.5568642669078407e+00	+1.3073193968304336e-01
9.4300000000000000e+02	+1.5516892381414698e+00	+1.3114793015314713e-01
9.4400000000000000e+02	+1.5465087815014282e+00	+1.3156479961533649e-01
9.4500000000000000e+02	+1.5413228971865882e+00	+1.3198254898391987e-01
9.4600000000000000e+02	+1.5361315853960287e+00	+1.3240117917314942e-01
9.4700000000000000e+02	+1.5309348463290289e+00	+1.3282069109722128e-01
9.4800000000000000e+02	+1.5257326801850781e+00	+1.3324108567027487e-01
9.4900000000000000e+02	+1.5205250871638674e+00	+1.3366236380639360e-01
9.5000000000000000e+02	+1.5153120674652913e+00	+1.3408452641960439e-01
9.5100000000000000e+02	+1.5100936212894522e+00	+1.3450757442387762e-01
9.5200000000000000e+02	+1.5048697488366547e+00	+1.3493150873312706e-01
9.5300000000000000e+02	+1.4996404503074094e+00	+1.3535633026121011e-01
9.5400000000000000e+02	+1.4944057259024288e+00	+1.3578203992192742e-01
9.5500000000000000e+02	+1.4891655758226352e+00	+1.3620863862902280e-01
9.5600000000000000e+02	+1.4839200002691486e+00	+1.3663612729618366e-01
9.5700000000000000e+02	+1.4786689994432995e+00	+1.3706450683704008e-01
9.5800000000000000e+02	+1.4734125735466210e+00	+1.3749377816516567e-01
9.5900000000000000e+02	+1.4681507227808477e+00	+1.3792394219407703e-01
9.6000000000000000e+02	+1.4628834473479224e+00	+1.3835499983723373e-01
9.6100000000000000e+02	+1.4576107474499929e+00	+1.3878695200803812e-01
9.6200000000000000e+02	+1.4523326232894065e+00	+1.3921979961983580e-01
9.6300000000000000e+02	+1.4470490750687190e+00	+1.3965354358591509e-01
9.6400000000000000e+02	+1.4417601029906919e+00	+1.4008818481950669e-01
9.6500000000000000e+02	+1.4364657072582858e+00	+1.4052372423378473e-01
9.6600000000000000e+02	+1.4311658880746698e+00	+1.4096016274186554e-01
9.6700000000000000e+02	+1.4258606456432168e+00	+1.4139750125680806e-01
9.6800000000000000e+02	+1.4205499801675017e+00	+1.4183574069161403e-01
9.6900000000000000e+02	+1.4152338918513072e+00	+1.4227488195922747e-01
9.7000000000000000e+02	+1.4099123808986165e+00	+1.4271492597253502e-01
9.7100000000000000e+02	+1.4045854475136195e+00	+1.4315587364436566e-01
9.7200000000000000e+02	+1.3992530919007113e+00	+1.4359772588749042e-01
9.7300000000000000e+02	+1.3939153142644876e+00	+1.4404048361462310e-01
9.7400000000000000e+02	+1.3885721148097510e+00	+1.4448414773841931e-01
9.7500000000000000e+02	+1.3832234937415087e+00	+1.4492871917147690e-01
9.7600000000000000e+02	+1.3778694512649698e+00	+1.4537419882633601e-01
9.7700000000000000e+02	+1.3725099875855480e+00	+1.4582058761547873e-01
9.7800000000000000e+02	+1.3671451029088644e+00	+1.4626788645132885e-01
9.7900000000000000e+02	+1.3617747974407388e+00	+1.4671609624625265e-01
9.8000000000000000e+02	+1.3563990713871998e+00	+1.4716521791255774e-01
9.8100000000000000e+02	+1.3510179249544771e+00	+1.4761525236249384e-01
9.8200000000000000e+02	+1.3456313583490060e+00	+1.4806620050825239e-01
9.8300000000000000e+02	+1.3402393717774244e+00	+1.4851806326196659e-01
9.8400000000000000e+02	+1.3348419654465773e+00	+1.4897084153571097e-01
9.8500000000000000e+02	+1.3294391395635086e+00	+1.4942453624150215e-01
9.8600000000000000e+02	+1.3240308943354706e+00	+1.4987914829129781e-01
9.8700000000000000e+02	+1.3186172299699166e+00	+1.5033467859699753e-01
9.8800000000000000e+02	+1.3131981466745066e+00	+1.5079112807044190e-01
9.8900000000000000e+02	+1.3077736446571033e+00	+1.5124849762341303e-01
9.9000000000000000e+02	+1.3023437241257714e+00	+1.5170678816763458e-01
9.9100000000000000e+02	+1.2969083852887815e+00	+1.5216600061477112e-01
9.9200000000000000e+02	+1.2914676283546083e+00	+1.5262613587642845e-01
9.9300000000000000e+02	+1.2860214535319283e+00	+1.5308719486415379e-01
9.9400000000000000e+02	+1.2805698610296248e+00	+1.5354917848943506e-01
9.9500000000000000e+02	+1.2751128510567824e+00	+1.5401208766370142e-01
9.9600000000000000e+02	+1.2696504238226898e+00	+1.5447592329832302e-01
9.9700000000000000e+02	+1.2641825795368398e+00	+1.5494068630461080e-01
9.9800000000000000e+02	+1.2587093184089304e+00	+1.5540637759381654e-01
9.9900000000000000e+02	+1.2532306406488596e+00	+1.5587299807713301e-01
1.0000000000000000e+03	+1.2477465464667317e+00	+1.5634054866569358e-01
1.0010000000000000e+03	+1.2422570360728575e+00	+1.5680903027057205e-01
1.0020000000000000e+03	+1.2367621096777444e+00	+1.5727844380278339e-01
1.0030000000000000e+03	+1.2312617674921089e+00	+1.5774879017328267e-01
1.0040000000000000e+03	+1.2257560097268687e+00	+1.5822007029296581e-01
1.0050000000000000e+03	+1.2202448365931451e+00	+1.5869228507266894e-01
1.0060000000000000e+03	+1.2147282483022672e+00	+1.5916543542316847e-01
1.0070000000000000e+03	+1.2092062450657592e+00	+1.5963952225518172e-01
1.0080000000000000e+03	+1.2036788270953567e+00	+1.6011454647936563e-01
1.0090000000000000e+03	+1.1981459946029962e+00	+1.6059050900631763e-01
1.0100000000000000e+03	+1.1926077478008152e+00	+1.6106741074657560e-01
1.0110000000000000e+03	+1.1870640869011573e+00	+1.6154525261061714e-01
1.0120000000000000e+03	+1.1815150121165705e+00	+1.6202403550885994e-01
1.0130000000000000e+03	+1.1759605236598025e+00	+1.6250376035166203e-01
1.0140000000000000e+03	+1.1704006217438079e+00	+1.6298442804932095e-01
1.0150000000000000e+03	+1.1648353065817436e+00	+1.6346603951207433e-01
1.0160000000000000e+03	+1.1592645783869675e+00	+1.6394859565009987e-01
1.0170000000000000e+03	+1.1536884373730456e+00	+1.6443209737351450e-01
1.0180000000000000e+03	+1.1481068837537416e+00	+1.6491654559237542e-01
1.0190000000000000e+03	+1.1425199177430274e+00	+1.6540194121667920e-01
1.0200000000000000e+03	+1.1369275395550762e+00	+1.6588828515636189e-01
1.0210000000000000e+03	+1.1313297494042627e+00	+1.6637557832129946e-01
1.0220000000000000e+03	+1.1257265475051681e+00	+1.6686382162130703e-01
1.0230000000000000e+03	+1.1201179340725762e+00	+1.6735301596613925e-01
1.0240000000000000e+03	+1.1145039093214697e+00	+1.6784316226549045e-01
1.0250000000000000e+03	+1.1088844734670400e+00	+1.6833426142899383e-01
1.0260000000000000e+03	+1.1032596267246806e+00	+1.6882631436622197e-01
1.0270000000000000e+03	+1.0976293693099834e+00	+1.6931932198668695e-01
1.0280000000000000e+03	+1.0919937014387502e+00	+1.6981328519983968e-01
1.0290000000000000e+03	+1.0863526233269813e+00	+1.7030820491507026e-01
1.0300000000000000e+03	+1.0807061351908809e+00	+1.7080408204170791e-01
1.0310000000000000e+03	+1.0750542372468583e+00	+1.7130091748902071e-01
1.0320000000000000e+03	+1.0693969297115240e+00	+1.7179871216621567e-01
