X	Hy	Ex	Ez
-1.03e-07	0.0965531	-0.756993	-0.0188441
-1.02e-07	0.0986561	-0.773381	-0.0198307
-1.01e-07	0.100805	-0.790123	-0.0208514
-1e-07	0.103	-0.807227	-0.0219072
-9.9e-08	0.105244	-0.824702	-0.022999
-9.8e-08	0.107536	-0.842554	-0.0241279
-9.7e-08	0.109878	-0.860792	-0.0252952
-9.6e-08	0.112271	-0.879425	-0.0265018
-9.5e-08	0.114716	-0.898462	-0.027749
-9.4e-08	0.117215	-0.917909	-0.0290379
-9.3e-08	0.119767	-0.937778	-0.0303698
-9.2e-08	0.122376	-0.958076	-0.0317459
-9.1e-08	0.125041	-0.978814	-0.0331675
-9e-08	0.127764	-1	-0.034636
-9e-08	0.116518	0.0676091	0.999723
-8.97e-08	0.105257	0.0611718	0.999338
-8.94e-08	0.0939835	0.0547268	0.998845
-8.91e-08	0.0826975	0.0482747	0.998245
-8.88e-08	0.0714011	0.0418165	0.997537
-8.85e-08	0.0600957	0.0353531	0.996723
-8.82e-08	0.0487826	0.0288851	0.995801
-8.79e-08	0.0374634	0.0224135	0.994772
-8.76e-08	0.0261395	0.015939	0.993636
-8.73e-08	0.0148124	0.00946262	0.992394
-8.7e-08	0.00348342	0.00298505	0.991045
-8.67e-08	-0.00784586	-0.00349284	0.989589
-8.64e-08	-0.019174	-0.00997023	0.988028
-8.61e-08	-0.0304996	-0.0164463	0.98636
-8.58e-08	-0.0418212	-0.0229201	0.984587
-8.55e-08	-0.0531374	-0.029391	0.982708
-8.52e-08	-0.0644466	-0.035858	0.980723
-8.49e-08	-0.0757474	-0.0423204	0.978634
-8.46e-08	-0.0870385	-0.0487772	0.97644
-8.43e-08	-0.0983182	-0.0552277	0.974141
-8.4e-08	-0.109585	-0.0616711	0.971737
-8.37e-08	-0.120838	-0.0681065	0.96923
-8.34e-08	-0.132076	-0.0745331	0.966619
-8.31e-08	-0.143296	-0.08095	0.963904
-8.28e-08	-0.154498	-0.0873565	0.961087
-8.25e-08	-0.16568	-0.0937517	0.958166
-8.22e-08	-0.17684	-0.100135	0.955143
-8.19e-08	-0.187978	-0.106505	0.952018
-8.16e-08	-0.199092	-0.112861	0.948791
-8.13e-08	-0.21018	-0.119203	0.945463
-8.1e-08	-0.221241	-0.12553	0.942034
-8.07e-08	-0.232273	-0.13184	0.938504
-8.04e-08	-0.243276	-0.138133	0.934874
-8.01e-08	-0.254247	-0.144409	0.931144
-7.98e-08	-0.265186	-0.150666	0.927314
-7.95e-08	-0.27609	-0.156903	0.923386
-7.92e-08	-0.286959	-0.163121	0.919359
-7.89e-08	-0.297791	-0.169317	0.915234
-7.86e-08	-0.308585	-0.175491	0.911011
-7.83e-08	-0.31934	-0.181643	0.906691
-7.8e-08	-0.330053	-0.187772	0.902275
-7.77e-08	-0.340724	-0.193876	0.897762
-7.74e-08	-0.351351	-0.199955	0.893154
-7.71e-08	-0.361933	-0.206009	0.88845
-7.68e-08	-0.372468	-0.212036	0.883652
-7.65e-08	-0.382956	-0.218036	0.878759
-7.62e-08	-0.393394	-0.224007	0.873773
-7.59e-08	-0.403782	-0.22995	0.868694
-7.56e-08	-0.414118	-0.235864	0.863523
-7.53e-08	-0.424401	-0.241746	0.858259
-7.5e-08	-0.434629	-0.247598	0.852904
-7.47e-08	-0.444802	-0.253418	0.847459
-7.44e-08	-0.454917	-0.259206	0.841923
-7.41e-08	-0.464974	-0.26496	0.836297
-7.38e-08	-0.474972	-0.270679	0.830583
-7.35e-08	-0.484908	-0.276365	0.82478
-7.32e-08	-0.494782	-0.282014	0.81889
-7.29e-08	-0.504593	-0.287627	0.812913
-7.26e-08	-0.514339	-0.293204	0.806849
-7.23e-08	-0.524019	-0.298742	0.800699
-7.2e-08	-0.533631	-0.304242	0.794464
-7.17e-08	-0.543175	-0.309703	0.788145
-7.14e-08	-0.55265	-0.315124	0.781742
-7.11e-08	-0.562053	-0.320505	0.775256
-7.08e-08	-0.571385	-0.325844	0.768688
-7.05e-08	-0.580643	-0.331142	0.762038
-7.02e-08	-0.589826	-0.336396	0.755307
-6.99e-08	-0.598934	-0.341608	0.748496
-6.96e-08	-0.607965	-0.346776	0.741606
-6.93e-08	-0.616918	-0.351899	0.734637
-6.9e-08	-0.625792	-0.356977	0.72759
-6.87e-08	-0.634585	-0.362008	0.720466
-6.84e-08	-0.643297	-0.366994	0.713265
-6.81e-08	-0.651927	-0.371932	0.705988
-6.78e-08	-0.660473	-0.376822	0.698637
-6.75e-08	-0.668934	-0.381664	0.691212
-6.72e-08	-0.677309	-0.386457	0.683713
-6.69e-08	-0.685598	-0.3912	0.676142
-6.66e-08	-0.693798	-0.395893	0.668499
-6.63e-08	-0.701909	-0.400535	0.660785
-6.6e-08	-0.709931	-0.405125	0.653002
-6.57e-08	-0.717861	-0.409664	0.645149
-6.54e-08	-0.725699	-0.414149	0.637227
-6.51e-08	-0.733445	-0.418582	0.629238
-6.48e-08	-0.741096	-0.42296	0.621183
-6.45e-08	-0.748652	-0.427284	0.613062
-6.42e-08	-0.756112	-0.431554	0.604875
-6.39e-08	-0.763475	-0.435768	0.596625
-6.36e-08	-0.77074	-0.439925	0.588312
-6.33e-08	-0.777906	-0.444026	0.579936
-6.3e-08	-0.784972	-0.448071	0.571499
-6.27e-08	-0.791938	-0.452057	0.563001
-6.24e-08	-0.798802	-0.455986	0.554444
-6.21e-08	-0.805563	-0.459855	0.545828
-6.18e-08	-0.812222	-0.463666	0.537154
-6.15e-08	-0.818776	-0.467417	0.528423
-6.12e-08	-0.825225	-0.471108	0.519637
-6.09e-08	-0.831568	-0.474739	0.510795
-6.06e-08	-0.837805	-0.478308	0.5019
