w	Re(eps)	Im(eps)
1.3100000000000001e+00	-1.1612590011602029e+02	+5.6190397526340981e+00
1.3200000000000001e+00	-1.1430147784053861e+02	+5.4924773559449784e+00
1.3300000000000001e+00	-1.1251793872091879e+02	+5.3696862060217718e+00
1.3400000000000001e+00	-1.1077407112165699e+02	+5.2505269224882216e+00
1.3500000000000001e+00	-1.0906870793276670e+02	+5.1348662590979002e+00
1.3600000000000001e+00	-1.0740072462192902e+02	+5.0225767911759176e+00
1.3700000000000001e+00	-1.0576903738527189e+02	+4.9135366211243490e+00
1.3799999999999999e+00	-1.0417260139111582e+02	+4.8076291008257241e+00
1.3899999999999999e+00	-1.0261040911138598e+02	+4.7047425698618968e+00
1.3999999999999999e+00	-1.0108148873572823e+02	+4.6047701085420991e+00
1.4099999999999999e+00	-9.9584902663679998e+01	+4.5076093048046078e+00
1.4199999999999999e+00	-9.8119746070538909e+01	+4.4131620341216342e+00
1.4299999999999999e+00	-9.6685145542843443e+01	+4.3213342515972997e+00
1.4399999999999999e+00	-9.5280257779632933e+01	+4.2320357955042178e+00
1.4500000000000000e+00	-9.3904268355889826e+01	+4.1451802015557107e+00
1.4600000000000000e+00	-9.2556390544786652e+01	+4.0606845272583767e+00
1.4700000000000000e+00	-9.1235864195565398e+01	+3.9784691857338137e+00
1.4800000000000000e+00	-8.9941954664067467e+01	+3.8984577884392198e+00
1.4900000000000000e+00	-8.8673951793111726e+01	+3.8205769962544918e+00
1.5000000000000000e+00	-8.7431168940083950e+01	+3.7447563784385611e+00
1.5100000000000000e+00	-8.6212942049257407e+01	+3.6709282789903455e+00
1.5200000000000000e+00	-8.5018628766509437e+01	+3.5990276899799643e+00
1.5300000000000000e+00	-8.3847607594235313e+01	+3.5289921314439701e+00
1.5400000000000000e+00	-8.2699277084387930e+01	+3.4607615374645055e+00
1.5500000000000000e+00	-8.1573055067691172e+01	+3.3942781480765554e+00
1.5600000000000001e+00	-8.0468377917186558e+01	+3.3294864066700929e+00
1.5700000000000001e+00	-7.9384699844377167e+01	+3.2663328625749326e+00
1.5800000000000001e+00	-7.8321492226331230e+01	+3.2047660785356800e+00
1.5900000000000001e+00	-7.7278242962199371e+01	+3.1447365428024017e+00
